NVA:BB1,,,,,NVA: road,,,,,,NVA: Tennis court,,,
,,,,,,,,,,,,,,
2931961.443,423172.39,65.824,hall7,,,,,,,,,,,
2931956.111,423172.395,65.795,hall7,,,,,,,,,,,
2931955.278,423172.943,65.752,hall7,,,,,,,,,,,
2931954.761,423172.489,65.81,hall7,,,,,,,,,,,
2931954.354,423173.077,65.804,hall7,,,,,,,,,,,
2931954.246,423173.713,65.794,hall7,,,,,,,,,,,
2931953.768,423173.534,65.751,hall7,,,,,,,,,,,
2931953.476,423173.067,65.828,hall7,,,,,,,,,,,
2932232.853,423077.343,64.877,hall5,,,,,,,,,,,
2932232.353,423081.231,64.873,hall5,,,,,,,,,,,
2932231.981,423085.477,64.871,hall5,,,,,,,,,,,
2932231.608,423089.677,64.859,hall5,,,,,,,,,,,
2932231.096,423093.805,64.856,hall5,,,,,,,,,,,
2932230.616,423097.715,64.881,hall5,,,,,,,,,,,
2932230.392,423099.62,64.855,hall5,,,,,,,,,,,
2932228.588,423103.788,64.889,hall5,,,,,,,,,,,
2932219.981,423102.583,64.902,hall5,,,,,,,,,,,
2932220.027,423097.205,64.887,hall5,,,,,,,,,,,
2932220.874,423092.165,64.867,hall5,,,,,,,,,,,
2932221.501,423087.091,64.867,hall5,,,,,,,,,,,
2932222.283,423079.571,64.87,hall5,,,,,,,,,,,
2932223.574,423075.366,64.8,hall5,,,,,,,,,,,
2932231.019,423071.835,64.812,hall5,,,,,,,,,,,
2932228.243,423078.274,64.88,hall5,,,,,,,,,,,
2932228.819,423085.837,64.872,hall5,,,,,,,,,,,
2932223.96,423087.34,64.816,hall5,,,,,,,,,,,
2932216.513,423089.252,64.884,hall5,,,,,,,,,,,
2932218.575,423094.463,64.844,hall5,,,,,,,,,,,
2932212.295,423096.279,64.866,hall5,,,,,,,,,,,
2932226.04,423099.766,64.856,hall5,,,,,,,,,,,
2932231.841,423101.494,64.861,hall5,,,,,,,,,,,
2932241.338,423104.295,64.912,hall5,,,,,,,,,,,
2932243.817,423099.767,64.959,hall5,,,,,,,,,,,
2932244.655,423094.462,64.996,hall5,,,,,,,,,,,
2932241.984,423091.465,64.956,hall5,,,,,,,,,,,
2932239.777,423088.021,64.919,hall5,,,,,,,,,,,
2932240.199,423084.004,64.898,hall5,,,,,,,,,,,
2932235.564,423085.263,64.87,hall5,,,,,,,,,,,
